candidate_index,matches_observed,residue_set,sum_residues,sum_mod15,gap_signature,relay_block_signature,free_block_signature,c_overlap_signature,no_c_overlap,nearest_c_distance_signature,sum_nearest_c_distance,internal_support_weight,boundary_support_weight,c_cut_weight,free_to_c_weight,relay_to_free_weight
153,0,"[0, 1, 3, 4, 7, 8]",23,8,"1,1,1,2,3,7","4,7","0,1,3,8",,1,"1,1,1,2,3,4",12,18,60,24,18,11
154,0,"[0, 1, 3, 4, 7, 9]",24,9,"1,1,2,2,3,6","4,7","0,1,3,9",,1,"1,1,1,2,2,4",11,17,60,18,12,9
155,0,"[0, 1, 3, 4, 7, 10]",25,10,"1,1,2,3,3,5","4,7","0,1,3,10",,1,"1,1,1,1,2,4",10,22,52,17,11,12
156,0,"[0, 1, 3, 4, 7, 11]",26,11,"1,1,2,3,4,4","4,7","0,1,3,11",11,0,"0,1,1,1,2,4",9,22,52,18,12,12
157,0,"[0, 1, 3, 4, 7, 12]",27,12,"1,1,2,3,3,5","4,7","0,1,3,12",,1,"1,1,1,1,2,4",10,21,54,16,10,11
158,0,"[0, 1, 3, 4, 7, 13]",28,13,"1,1,2,2,3,6","4,7","0,1,3,13",,1,"1,1,1,1,2,4",10,20,56,21,15,13
159,0,"[0, 1, 3, 4, 7, 14]",29,14,"1,1,1,2,3,7","4,7","0,1,3,14",14,0,"0,1,1,1,2,4",9,21,54,18,12,12
160,0,"[0, 1, 3, 4, 8, 9]",25,10,"1,1,1,2,4,6",4,"0,1,3,8,9",,1,"1,1,1,2,2,3",10,14,66,22,20,6
161,0,"[0, 1, 3, 4, 8, 10]",26,11,"1,1,2,2,4,5",4,"0,1,3,8,10",,1,"1,1,1,1,2,3",9,18,60,21,19,8
162,0,"[0, 1, 3, 4, 8, 11]",27,12,"1,1,2,3,4,4",4,"0,1,3,8,11",11,0,"0,1,1,1,2,3",8,20,56,22,20,7
163,0,"[0, 1, 3, 4, 8, 12]",28,13,"1,1,2,3,4,4",4,"0,1,3,8,12",,1,"1,1,1,1,2,3",9,21,54,20,18,8
164,0,"[0, 1, 3, 4, 8, 13]",29,14,"1,1,2,2,4,5",4,"0,1,3,8,13",,1,"1,1,1,1,2,3",9,14,68,25,23,7
